Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Hamden,2823005000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00664 MOUNTAIN RD,CONNECTICUT STATE OF,54.73,617/933,"$431,690",$0,"$431,690","$431,690",POINT (-72.950939459 41.391910049)
East Hartford,00017189,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00420 ROBERTS ST,STATE OF CONNECTICUT,0.66,866/87,"$21,690",$0,"$21,690","$21,690",POINT (-72.622964959 41.767533943)
Hamden,3523001000000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",02600 DOWNES RD,CONNECTICUT STATE OF,25.21,3800/222,"$247,100",$0,"$247,100","$247,100",POINT (-72.947534408 41.448164434)
East Haddam,00104500,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 EH MOODUS RD,CONN STATE OF,18.26,77/97,"$3,830",$0,"$3,830","$3,830",POINT (-72.489077942 41.516637206)
East Hampton,R20044,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HALE BROOK RD,CONNECTICUT STATE OF,6.43,0/0,$590,$0,$590,$590,POINT (-72.08947221 41.744836094)
Beacon Falls,00118600,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 LOPUS RD,CONN STATE OF,8.4,43/525,"$211,400",$0,"$211,400","$211,400",POINT (-73.068501708 41.438523243)
Durham,C0052600,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 MIDDLEFIELD RD,CONNECTICUT STATE OF,1.13,58/347,$670,$0,$670,$670,POINT (-72.688617913 41.488618961)
Bridgeport,0962--01B------,OABX,"Administrative (office buildings, court houses, any others)",00060 HOUSATONIC AV,CONNECTICUT STATE OF,4.39,4638/277,"$4,609,500","$30,224,300","$34,833,800","$34,833,800",POINT (-73.187938991 41.182299988)
East Lyme,7571,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",HOLMES RD,CONNECTICUT STATE OF,26,0114 0469,"$2,550",$0,"$2,550","$2,550",POINT (-72.2513243 41.438191461)
Danbury,C14022,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 OLD MILL PLAIN RD,STATE OF CONNECTICUT,0.97,191/316,"$41,160",$0,"$41,160","$41,160",POINT (-73.51687658 41.395127276)
Goshen,00201600,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 ELI BUNKER ROAD,CONNECTICUT STATE OF - DEP,183,0/0,"$49,960",$0,"$49,960","$49,960",POINT (-73.278175007 41.803826475)
Kent,00082100,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 KENICO RD,CONNECTICUT STATE OF,315.5,0/0,"$53,000",$0,"$53,000","$53,000",POINT (-73.405999253 41.737790001)
Greenwich 1,05-4569,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BUXTON LANDING,CONNECTICUT STATE OF,0.02,0/0,$350,$0,$350,$350,POINT (-73.588998973 41.036454923)
Hartland,98100899,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SUNSET RD,STATE OF CONNECTICUT,495,47/357,"$693,000",$0,"$693,000","$693,000",POINT (-72.925596613 41.989830687)
Hartford,160484004,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00086-88 FRANCIS AVE,STATE OF CONN DEPT OF TRANS,0.11,6452/255,"$8,120",$0,"$8,120","$8,120",POINT (-72.70594997 41.755014016)
Hartford,156312298,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00039 WOODLAND ST,STATE OF CONNECTICUT,2.52,839/533,"$839,440","$1,388,030","$2,227,470","$2,227,470",POINT (-72.702194961 41.770128013)
Farmington,22409069,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",09069 WOODRUFF RD,CONNECTICUT STATE OF,0.11,158/423,"$68,250",$0,"$68,250","$68,250",POINT (-72.768245991 41.730889871)
Hamden,3334006000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00040 BLUE TRAIL,CONNECTICUT STATE OF,6.5,760/246,"$112,980",$0,"$112,980","$112,980",POINT (-72.87087661 41.435529774)
Clinton,L0332020,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00110 LONG HILL RD,CONNECTICUT STATE OF,14.85,484/987,"$136,200",$0,"$136,200","$136,200",POINT (-72.509633917 41.297136638)
Bristol,0272173,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 EAST MAIN ST,STATE OF CONNECTICUT,0.12,1453/278,"$2,870",$0,"$2,870","$2,870",POINT (-72.893055562 41.672688374)
Burlington,32002053,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 ARCH ST,CONNECTICUT STATE OF,0,0/0,$0,"$918,750","$918,750","$918,750",POINT (-72.923799138 41.805016322)
East Hampton,R20020,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 COLCHESTER AVE,CONNECTICUT STATE OF,0.03,0/0,"$3,160",$0,"$3,160","$3,160",POINT (-72.468536521 41.5651742)
East Haven,C9005000,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00507 NORTH HIGH ST,STATE OF CONNECTICUT,10.15,226/494,"$765,240","$723,030","$1,488,270","$1,488,270",POINT (-72.864207007 41.294469005)
Ellington,00462800,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WEST SHORE RD,CONNECTICUT STATE OF - FISH + GAME TRACT,0.12,48/611,"$107,100",$0,"$107,100","$107,100",POINT (-72.380199943 41.9368643)
Branford,11154,OFBX,"Public Safety (National Guard, fire towers and radio stations, state police training academy, state motor vehicle buildings, state police barracks, state police",00083 MONTOWESE ST + PI,CONNECTICUT STATE OF,3.97,62/321,"$596,900","$1,776,400","$2,373,300","$2,373,300",POINT (-72.804551997 41.278847987)
East Hampton,R20013,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 FOREST ST,CONNECTICUT STATE OF,1.19,126/329,"$62,160",$0,"$62,160","$62,160",POINT (-72.510022989 41.570891473)
Haddam,S0631500,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SIMA RD,CONN STATE OF,6.57,79/363,"$77,020",$0,"$77,020","$77,020",POINT (-72.50472 41.47439)
East Haddam,00126340,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 STOCKBURGER RD,CONN STATE OF,1.1,334/124,"$184,460",$0,"$184,460","$184,460",POINT (-72.470164593 41.527250573)
Farmington,22409074,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",09074 WOODRUFF RD,CONNECTICUT STATE OF,0.24,158/30,"$42,350",$0,"$42,350","$42,350",POINT (-72.768245991 41.730889871)
Deep River,00033800,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WESTBROOK RD,STATE OF CONNECTICUT,66,100/505,"$18,020",$0,"$18,020","$18,020",POINT (-72.483442064 41.350789655)
Hamden,2723004000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00645 MOUNTAIN RD,CONNECTICUT STATE OF,31.93,617/937,"$358,610",$0,"$358,610","$358,610",POINT (-72.951458766 41.391732359)
Easton,00297907,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 EVERETT ROAD,STATE OF CONNECTICUT,12.77,382/274,"$3,500",$0,"$3,500","$3,500",POINT (-73.283426876 41.28821062)
Beacon Falls,00136200,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 NORTH MAIN ST,CONN STATE OF,0.29,50/548,"$39,520",$0,"$39,520","$39,520",POINT (-73.066511519 41.446293058)
Bloomfield,R90226,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00429 TUNXIS AVE,CONNECTICUT STATE OF,3,31/144,"$42,420",$0,"$42,420","$42,420",POINT (-72.744127362 41.881217592)
Haddam,I0256000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 INDIAN HILL RD,CONN STATE OF,39.75,379/353,"$154,710",$0,"$154,710","$154,710",POINT (-72.60693763 41.448484663)
Harwinton,4196,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WHETSTONE RD,CONNECTICUT STATE OF,72.9,258/174,"$12,250",$0,"$12,250","$12,250",POINT (-73.072607256 41.759770517)
Branford,11142,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 LEETES ISLAND RD,CONNECTICUT STATE OF,5,161/294,"$669,600","$402,300","$1,071,900","$1,071,900",POINT (-72.758025413 41.287702065)
East Haven,C9006030,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00147 OLD FOXON RD,STATE OF CONNECTICUT,0.03,0/0,$490,$0,$490,$490,POINT (-72.86513546 41.320137857)
Haddam,H0243600,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HUBBARD RD,CONN STATE OF MUNICIPAL DIV,41.8,0/0,"$11,410",$0,"$11,410","$11,410",POINT (-72.538820016 41.464985697)
Avon,4520245,OFBX,"Public Safety (National Guard, fire towers and radio stations, state police training academy, state motor vehicle buildings, state police barracks, state police",245 WEST AVON RD,CONNECTICUT STATE OF (DEP),100,,"$3,548,300",$0,"$3,548,300","$3,548,300",POINT (-72.873011023 41.798983008)
Enfield,001000020395,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00464 HAZARD AVE,CONNECTICUT STATE OF,0.88,1156/126,"$54,000",$0,"$54,000","$54,000",POINT (-72.525946609 41.985712425)
Easton,00297881,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 JUDD ROAD,STATE OF CONNECTICUT,7.59,382/276,"$169,610",$0,"$169,610","$169,610",POINT (-73.292436494 41.309488881)
Haddam,S0556800,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 SAYBROOK RD,CONN STATE OF MUNICIPAL DIV,36.19,0/0,"$58,200",$0,"$58,200","$58,200",POINT (-72.480634001 41.465971573)
Hamden,3628006000000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BROOKSVALE AVE,CONNECTICUT STATE OF,3,1115/31,"$74,830",$0,"$74,830","$74,830",POINT (-72.917448561 41.449859636)
Hamden,3236001000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",01500 MT CARMEL AVE,CONNECTICUT STATE OF,4.91,675/1079,"$47,390",$0,"$47,390","$47,390",POINT (-72.854592783 41.430775111)
Hartland,98106066,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 CENTER ST,STATE OF CONNECTICUT,8.98,67/437,"$12,570",$0,"$12,570","$12,570",POINT (-72.979557931 41.998590735)
Colchester,C0522700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 RAILROAD BED-EAST HADDAM,CONNECTICUT STATE OF,4.82,94/162,"$7,600",$0,"$7,600","$7,600",POINT (-72.284839889 41.46336364)
Farmington,17608882,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",08882 SOUTH RD,CONNECTICUT STATE OF,1.6,626/736,"$87,290",$0,"$87,290","$87,290",POINT (-72.775173708 41.723521282)
Glastonbury,70400013E,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 THOMPSON ST,CONNECTICUT STATE OF,94.65,526/281,"$477,100",$0,"$477,100","$477,100",POINT (-72.514935429 41.683654281)
Eastford,00034400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00307 FAY RD,CONNECTICUT STATE OF - DEEP,49.4,73/244,"$38,850",$0,"$38,850","$38,850",POINT (-72.043537287 41.838261646)
Clinton,C0646300,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 SHORE RD (REAR),CONNECTICUT STATE OF,2.32,93/305,"$7,300",$0,"$7,300","$7,300",POINT (-72.502934106 41.264727536)
East Hartford,00004467,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00272 FORBES ST,STATE OF CONNECTICUT,0.76,1/1,"$7,110",$0,"$7,110","$7,110",POINT (-72.601223245 41.770476536)
East Haven,C9017000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00888 FOXON RD,STATE OF CONNECTICUT,0.22,490/28,"$2,800",$0,"$2,800","$2,800",POINT (-72.862391074 41.321282338)
Glastonbury,70400011E,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 THOMPSON ST,CONNECTICUT STATE OF,15.15,1482/325,"$342,000",$0,"$342,000","$342,000",POINT (-72.514935429 41.683654281)
Danbury,K05121,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00006-8 FORTY ACRE MT RD,STATE OF CT,6.69,460/426,"$670,110",$0,"$670,110","$670,110",POINT (-73.43235128 41.460303925)
Chester,00032903,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 TURKEY HILL RD,CONNECTICUT STATE OF,20,21/485,"$7,000","$7,230","$14,230","$14,230",POINT (-72.494535044 41.415883733)
East Hampton,R20055,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HURD PARK RD,CONNECTICUT STATE OF,7.53,84/41,"$91,400",$0,"$91,400","$91,400",POINT (-72.530390282 41.519020241)
East Haven,Z9339600,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00035 KIMBERLY AVE,STATE OF CONNECTICUT,2,0/0,"$203,700","$21,770","$225,470","$225,470",POINT (-72.872538032 41.282938021)
Burlington,00066100,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 ARCH ST,CONNECTICUT STATE OF,0.5,0/0,"$53,930",$0,"$53,930","$53,930",POINT (-72.923799138 41.805016322)
Danbury,G19009,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SUGAR HOLLOW RD,STATE OF CONNECTICUT,2.1,229/263,"$68,040",$0,"$68,040","$68,040",POINT (-73.469591029 41.3501885)
East Hampton,R20150,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HURD PARK RD,CONNECTICUT STATE OF,53.23,280/867,"$4,840",$0,"$4,840","$4,840",POINT (-72.530390282 41.519020241)
East Lyme,7582,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",289 BOSTON POST RD,CONNECTICUT STATE OF,1.28,0191 0770,"$118,440","$59,920","$178,360","$178,360",POINT (-72.230922036 41.366725998)
Burlington,00274600,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 ARCH ST,CONNECTICUT STATE OF,1,0/0,"$70,900",$0,"$70,900","$70,900",POINT (-72.923799138 41.805016322)
